               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11232,            0.040353,            0.023931,            0.086796,            0.063863,            0.047885,            0.011772,            0.090312,            0.036517,             0.01563,            0.070698,           0.0032558,           0.0032558
                   1,            0.083032,            0.041233,            0.015364,             0.64859,              0.1947,             0.10823,            0.029316,            0.070044,            0.030869,            0.013583,            0.040045,           0.0059368,           0.0059368
                   2,            0.073241,            0.036644,            0.014002,              0.7195,             0.22508,             0.21301,            0.068653,            0.075641,            0.023914,            0.013122,            0.008733,           0.0079578,           0.0079578
                   3,            0.066192,            0.033273,            0.013781,              0.6971,             0.27025,              0.2295,            0.076603,            0.061561,            0.023401,            0.012492,             0.00703,             0.00703,             0.00703
                   4,            0.060457,            0.032215,             0.01305,             0.87766,             0.36215,             0.43119,             0.15101,              0.0483,            0.022302,             0.01094,             0.00703,             0.00703,             0.00703
                   5,            0.053911,            0.031638,            0.011661,              0.5551,             0.57805,             0.55411,             0.23146,            0.049596,            0.021238,           0.0096021,             0.00604,             0.00604,             0.00604
                   6,             0.04794,            0.029501,           0.0097745,             0.66763,             0.61137,             0.66665,             0.33429,            0.042303,            0.020586,           0.0080552,             0.00505,             0.00505,             0.00505
                   7,            0.043708,            0.028601,            0.008394,             0.76078,             0.62883,             0.71158,             0.36547,             0.03736,             0.02018,           0.0068504,             0.00406,             0.00406,             0.00406
                   8,            0.040308,            0.027488,           0.0075638,             0.84265,             0.63244,             0.73419,             0.41899,            0.034241,            0.019591,           0.0064925,             0.00307,             0.00307,             0.00307
                   9,            0.037384,            0.026255,           0.0063583,             0.86501,             0.64121,             0.74533,             0.43352,            0.031952,            0.019368,             0.00595,             0.00208,             0.00208,             0.00208
